FamiliaDesc,EspecialidadCertificado,CentroCP,CursoCodigo,DirigidoA,CentroMunicipio,CursoDesc,Censo,CentroTfno,Duracion,SectorDesc,EspecialidadDesc1,CentroEmail,Modalidad,CentroDireccion,SieCodigo,EspecialidadDesc,AreaDesc,CentroDesc
Comercio y marketing,SÍ,28500,18/8065,Desempleados,ARGANDA DEL REY,"ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO",27001,918711344,420,Servicios,"ATENCIÓN AL CLIENTE, CONSUMIDOR O USUARIO",desarrollo_local@ayto-arganda.es,Presencial,"Calle Mar de Alborán, 1  ",CCLL2018/8065,COMT0110,Compraventa,CON.M. MONSERRAT CABALLE
Administración y gestión,NO,28500,18/8066,Desempleados,ARGANDA DEL REY,INGLÉS: GESTIÓN COMERCIAL,26950,918711344,200,Servicios,INGLÉS: GESTIÓN COMERCIAL,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8066,ADGX01,Especialidades sin área definida (administración y oficinas),CENT.SERV.EMPRESARIALES
Comercio y marketing,SÍ,28500,18/8067,Desempleados,ARGANDA DEL REY,GESTIÓN COMERCIAL DE VENTAS,26950,918711344,530,Servicios,GESTIÓN COMERCIAL DE VENTAS,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8067,COMT0411,Compraventa,CENT.SERV.EMPRESARIALES
Servicios socioculturales y a la comunidad,SÍ,28500,18/8068,Desempleados,ARGANDA DEL REY,GESTIÓN DE LLAMADAS DE TELEASISTENCIA,26950,918711344,230,Servicios,GESTIÓN DE LLAMADAS DE TELEASISTENCIA,desarrollo_local@ayto-arganda.es,Presencial,"Calle Montealegre, 11  ",CCLL2018/8068,SSCG0111,Atención social,CENT.SERV.EMPRESARIALES
Informática  y comunicaciones,SÍ,28500,18/8069,Desempleados,ARGANDA DEL REY,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,27001,918711344,480,Servicios,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,desarrollo_local@ayto-arganda.es,Presencial,"Calle Mar de Alborán, 1  ",CCLL2018/8069,IFCD0110,Desarrollo,CON.M. MONSERRAT CABALLE
Servicios socioculturales y a la comunidad,NO,28500,18/8070,Desempleados,ARGANDA DEL REY,INGLÉS A1,27001,918711344,150,Servicios,INGLÉS A1,desarrollo_local@ayto-arganda.es,Presencial,"Calle Mar de Alborán, 1  ",CCLL2018/8070,SSCE01,Formación y educación,CON.M. MONSERRAT CABALLE
Comercio y marketing,SÍ,28400,18/8071,Desempleados,COLLADO VILLALBA,TRÁFICO DE MERCANCÍAS POR CARRETERA,26817,912795151,440,Servicios,TRÁFICO DE MERCANCÍAS POR CARRETERA,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8071,COML0109,Logística comercial y gestión del transporte,CENTRO INICIATIVAS MUNI.
Servicios socioculturales y a la comunidad,SÍ,28400,18/8072,Desempleados,COLLADO VILLALBA,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,26817,912795151,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8072,SSCB0209,Actividades culturales y recreativas,CENTRO INICIATIVAS MUNI.
Servicios socioculturales y a la comunidad,SÍ,28400,18/8073,Desempleados,COLLADO VILLALBA,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,26817,912795151,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8073,SSCS0208,Asistencia social,CENTRO INICIATIVAS MUNI.
Administración y gestión,SÍ,28400,18/8074,Desempleados,COLLADO VILLALBA,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,26817,912795151,680,Servicios,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8074,ADGG0208,Gestión de la información y la comunicación,CENTRO INICIATIVAS MUNI.
Seguridad y medioambiente,SÍ,28400,18/8075,Desempleados,COLLADO VILLALBA,INTERPRETACIÓN Y EDUCACIÓN AMBIENTAL,26817,912795151,420,Servicios,INTERPRETACIÓN Y EDUCACIÓN AMBIENTAL,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8075,SEAG0109,Gestión ambiental,CENTRO INICIATIVAS MUNI.
Servicios socioculturales y a la comunidad,SÍ,28400,18/8076,Desempleados,COLLADO VILLALBA,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,26817,912795151,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8076,SSCB0209,Actividades culturales y recreativas,CENTRO INICIATIVAS MUNI.
Servicios socioculturales y a la comunidad,SÍ,28400,18/8077,Desempleados,COLLADO VILLALBA,GESTIÓN DE LLAMADAS DE TELEASISTENCIA,26817,912795151,230,Servicios,GESTIÓN DE LLAMADAS DE TELEASISTENCIA,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8077,SSCG0111,Atención social,CENTRO INICIATIVAS MUNI.
Servicios socioculturales y a la comunidad,SÍ,28400,18/8078,Desempleados,COLLADO VILLALBA,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,26817,912795151,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,afepe@ayto-colladovillalba.org,Presencial,"Calle Rincón de las Eras, 10  ",CCLL2018/8078,SSCS0208,Asistencia social,CENTRO INICIATIVAS MUNI.
Electricidad y electrónica,SÍ,28440,18/8079,Desempleados,GUADARRAMA,OPERACIONES AUXILIARES DE MONTAJE DE INSTALACIONES ELECTROTÉCNICAS Y DE TELECOMUNICACIONES EN EDIFICIOS,16294,918547465,300,Industria,OPERACIONES AUXILIARES DE MONTAJE DE INSTALACIONES ELECTROTÉCNICAS Y DE TELECOMUNICACIONES EN EDIFICIOS,aedlnt@guadarrama.es,Presencial,"Calle Paraje San Juan, s/n  ",CCLL2018/8079,ELES0208,Instalaciones de telecomunicación,AYUNTAMIENTO DE GUADARRAMA
Hostelería y turismo,SÍ,28440,18/8080,Desempleados,GUADARRAMA,OPERACIONES BÁSICAS DE COCINA,16294,918547465,270,Servicios,OPERACIONES BÁSICAS DE COCINA,aedlnt@guadarrama.es,Presencial,"Calle Paraje San Juan, s/n  ",CCLL2018/8080,HOTR0108,Restauración,AYUNTAMIENTO DE GUADARRAMA
Hostelería y turismo,SÍ,28440,18/8081,Desempleados,GUADARRAMA,OPERACIONES BÁSICAS DE PASTELERÍA,16294,918547465,330,Servicios,OPERACIONES BÁSICAS DE PASTELERÍA,aedlnt@guadarrama.es,Presencial,"Calle Paraje San Juan, s/n  ",CCLL2018/8081,HOTR0109,Restauración,AYUNTAMIENTO DE GUADARRAMA
Administración y gestión,SÍ,28918,18/8082,Desempleados,LEGANES,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,1562,912489400,390,Servicios,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8082,ADGG0408,Gestión de la información y la comunicación,AYTO.LEGANES-C.F.1ºMAYO
Administración y gestión,SÍ,28918,18/8083,Desempleados,LEGANES,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,1562,912489400,360,Servicios,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8083,ADGG0508,Gestión de la información y la comunicación,AYTO.LEGANES-C.F.1ºMAYO
Agraria,SÍ,28918,18/8084,Desempleados,LEGANES,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",1562,912489400,250,Agricultura,"ACTIVIDADES AUXILIARES EN VIVEROS, JARDINES Y CENTROS DE JARDINERÍA",1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8084,AGAO0108,Ornamentales y jardinería,AYTO.LEGANES-C.F.1ºMAYO
Administración y gestión,SÍ,28918,18/8085,Desempleados,LEGANES,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,21817,912489395,390,Servicios,OPERACIONES AUXILIARES DE SERVICIOS ADMINISTRATIVOS Y GENERALES,1mayo2@leganes.org,Presencial,"Avenida del Museo, 4  ",CCLL2018/8085,ADGG0408,Gestión de la información y la comunicación,MUNICIPAL LAS DEHESILLAS
Administración y gestión,SÍ,28918,18/8086,Desempleados,LEGANES,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,1562,912489400,680,Servicios,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8086,ADGG0208,Gestión de la información y la comunicación,AYTO.LEGANES-C.F.1ºMAYO
Agraria,SÍ,28918,18/8087,Desempleados,LEGANES,INSTALACIÓN Y MANTENIMIENTO DE JARDINES Y ZONAS VERDES,1562,912489400,390,Agricultura,INSTALACIÓN Y MANTENIMIENTO DE JARDINES Y ZONAS VERDES,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8087,AGAO0208,Ornamentales y jardinería,AYTO.LEGANES-C.F.1ºMAYO
Informática  y comunicaciones,SÍ,28918,18/8088,Desempleados,LEGANES,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,1562,912489400,480,Servicios,CONFECCIÓN Y PUBLICACIÓN DE PÁGINAS WEB,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8088,IFCD0110,Desarrollo,AYTO.LEGANES-C.F.1ºMAYO
Informática  y comunicaciones,SÍ,28918,18/8089,Desempleados,LEGANES,SISTEMAS MICROINFORMÁTICOS,1562,912489400,560,Servicios,SISTEMAS MICROINFORMÁTICOS,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8089,IFCT0209,Sistemas y telemática,AYTO.LEGANES-C.F.1ºMAYO
Servicios socioculturales y a la comunidad,SÍ,28918,18/8090,Desempleados,LEGANES,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,1562,912489400,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8090,SSCB0209,Actividades culturales y recreativas,AYTO.LEGANES-C.F.1ºMAYO
Servicios socioculturales y a la comunidad,SÍ,28918,18/8091,Desempleados,LEGANES,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1562,912489400,370,Servicios,ATENCIÓN SOCIOSANITARIA A PERSONAS DEPENDIENTES EN INSTITUCIONES SOCIALES,1mayo2@leganes.org    690603633   635372095,Presencial,"Calle Quimica, 1  ",CCLL2018/8091,SSCS0208,Asistencia social,AYTO.LEGANES-C.F.1ºMAYO
Administración y gestión,SÍ,28982,18/8092,Desempleados,PARLA,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,1561,916050153,680,Servicios,ACTIVIDADES ADMINISTRATIVAS EN LA RELACIÓN CON EL CLIENTE,formacionempleo@ayuntamientoparla.es,Presencial,"Calle Pinto, 76  ",CCLL2018/8092,ADGG0208,Gestión de la información y la comunicación,FORMACION MUNPAL PARLA
Administración y gestión,SÍ,28982,18/8093,Desempleados,PARLA,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,1561,916050153,360,Servicios,OPERACIONES DE GRABACIÓN Y TRATAMIENTO DE DATOS Y DOCUMENTOS,formacionempleo@ayuntamientoparla.es,Presencial,"Calle Pinto, 76  ",CCLL2018/8093,ADGG0508,Gestión de la información y la comunicación,FORMACION MUNPAL PARLA
Informática  y comunicaciones,NO,28982,18/8094,Desempleados,PARLA,EXCEL AVANZADO,1561,916050153,100,Servicios,EXCEL AVANZADO,formacionempleo@ayuntamientoparla.es,Presencial,"Calle Pinto, 76  ",CCLL2018/8094,IFCT36,Sistemas y telemática,FORMACION MUNPAL PARLA
Sanidad,SÍ,28982,18/8095,Desempleados,PARLA,TRANSPORTE SANITARIO,27328,916991799,400,Servicios,TRANSPORTE SANITARIO,alcaldia@ayuntamientoparla.es,Presencial,"Calle Pintor Rosales, s/n  ",CCLL2018/8095,SANT0208,Atención sanitaria,"CENTRO DE FORMACION MUNICIPAL ""PIO XII"""
Servicios socioculturales y a la comunidad,SÍ,28982,18/8096,Desempleados,PARLA,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,27328,916991799,150,Servicios,DINAMIZACIÓN DE ACTIVIDADES DE TIEMPO LIBRE EDUCATIVO INFANTIL Y JUVENIL,alcaldia@ayuntamientoparla.es,Presencial,"Calle Pintor Rosales, s/n  ",CCLL2018/8096,SSCB0209,Actividades culturales y recreativas,"CENTRO DE FORMACION MUNICIPAL ""PIO XII"""
Servicios socioculturales y a la comunidad,NO,28982,18/8097,Desempleados,PARLA,INGLÉS A1,27328,916991799,150,Servicios,INGLÉS A1,alcaldia@ayuntamientoparla.es,Presencial,"Calle Pintor Rosales, s/n  ",CCLL2018/8097,SSCE01,Formación y educación,"CENTRO DE FORMACION MUNICIPAL ""PIO XII"""
Servicios socioculturales y a la comunidad,NO,28982,18/8098,Desempleados,PARLA,INGLÉS A2,27328,916991799,150,Servicios,INGLÉS A2,alcaldia@ayuntamientoparla.es,Presencial,"Calle Pintor Rosales, s/n  ",CCLL2018/8098,SSCE02,Formación y educación,"CENTRO DE FORMACION MUNICIPAL ""PIO XII"""
Servicios socioculturales y a la comunidad,NO,28982,18/8099,Desempleados,PARLA,INGLÉS B1,27328,916991799,240,Servicios,INGLÉS B1,alcaldia@ayuntamientoparla.es,Presencial,"Calle Pintor Rosales, s/n  ",CCLL2018/8099,SSCE03,Formación y educación,"CENTRO DE FORMACION MUNICIPAL ""PIO XII"""
